"","quality","p","size","chi2","description"
"1",4953.25,0.21,27034,32827.55,"Crm.Cd2=VC_asalto_agravado"
"2",4484.47,0.23,23013,31301.87,"Crm.Cd2=VC_asalto_agravado, Vict.Age=joven"
"3",3877.92,0.3,14379,36694.93,"Crm.Cd2=VC_violencia_domestica_asalto_agravado"
"4",3741.7,0.22,19288,25767.55,"Crm.Cd2=VC_asalto_agravado, Vict.Sex=M"
"5",3544.46,0.3,13210,33275.97,"Crm.Cd2=VC_violencia_domestica_asalto_agravado, Vict.Age=joven"
"6",3498.15,0.05,151984,4193.21,"Vict.Sex=M, Vict.Age=joven"
"7",3451.87,0.05,184003,3800.84,"Vict.Sex=M"
"8",3417.64,0.24,16691,24688.54,"Crm.Cd2=VC_asalto_agravado, Vict.Sex=M, Vict.Age=joven"
"9",2558.23,0.42,6539,34475.15,"Crm.Cd2=VC_violencia_domestica_asalto_agravado, Vict.Sex=M"
"10",2509.53,0.04,294650,2235.87,"Vict.Age=joven"
"11",2337.53,0.42,5937,31657.55,"Crm.Cd2=VC_violencia_domestica_asalto_agravado, Vict.Sex=M, Vict.Age=joven"
"12",1777.47,0.21,9821,11166.51,"Crm.Cd2=VC_asalto_agravado, TIME.OCC=tarde"
"13",1585.69,0.22,8169,10642.76,"Crm.Cd2=VC_asalto_agravado, TIME.OCC=tarde, Vict.Age=joven"
"14",1571.34,0.12,17984,4858.69,"Crm.Cd2=VC_robo"
"15",1525.91,0.35,4839,16509.09,"Crm.Cd2=VC_violencia_domestica_asalto_agravado, TIME.OCC=tarde"
"16",1417.92,0.21,7898,8796.35,"Crm.Cd2=VC_asalto_agravado, TIME.OCC=noche"
"17",1374.65,0.34,4387,14763.26,"Crm.Cd2=VC_violencia_domestica_asalto_agravado, TIME.OCC=tarde, Vict.Age=joven"
"18",1336.78,0.22,6883,8950.05,"Crm.Cd2=VC_asalto_agravado, TIME.OCC=tarde, Vict.Sex=M"
"19",1298.74,0.2,7641,7623.33,"Crm.Cd2=VC_violencia_domestica_asalto_agravado, Vict.Sex=F"
"20",1297.43,0.22,6697,8661.34,"Crm.Cd2=VC_asalto_agravado, TIME.OCC=noche, Vict.Age=joven"
