"","quality","p","size","chi2","description"
"1",567.03,0.01,160335,557.95,"Vict.Sex=F"
"2",510.86,0.01,141005,481.75,"Vict.Sex=F, Vict.Age=joven"
"3",431.62,0.01,297867,341.56,"Vict.Age=joven"
"4",279.03,0.01,62652,256.43,"Vict.Sex=F, TIME.OCC=tarde"
"5",228.34,0.01,134760,98.65,"Vict.Descent=Hispanic/Latin/Mexican"
"6",223.48,0.01,113791,104.73,"TIME.OCC=tarde, Vict.Age=joven"
"7",220.25,0.01,66485,152.11,"Vict.Descent=Hispanic/Latin/Mexican, Vict.Sex=F"
"8",213.86,0.01,53882,171.18,"Vict.Sex=F, TIME.OCC=tarde, Vict.Age=joven"
"9",199.83,0.01,58992,138.33,"Vict.Descent=Hispanic/Latin/Mexican, Vict.Sex=F, Vict.Age=joven"
"10",185.94,0.01,63020,113.32,"Vict.Descent=black"
"11",185.15,0.01,119832,69.55,"Vict.Descent=Hispanic/Latin/Mexican, Vict.Age=joven"
"12",171.92,0.01,55983,107.06,"Vict.Descent=black, Vict.Age=joven"
"13",166.95,0.01,50875,109.63,"Vict.Descent=Hispanic/Latin/Mexican, TIME.OCC=tarde"
"14",163.64,0.01,34737,148.12,"Vict.Descent=black, Vict.Sex=F"
"15",158.99,0.01,31154,154.55,"Vict.Descent=black, Vict.Sex=F, Vict.Age=joven"
"16",136.49,0.01,170639,31.53,"TIME.OCC=tarde"
"17",133.18,0.01,35521,96.14,"TIME.OCC=noche, Vict.Sex=F, Vict.Age=joven"
"18",128.05,0.01,39416,80.87,"TIME.OCC=noche, Vict.Sex=F"
"19",127.41,0.01,25096,121.42,"Vict.Descent=Hispanic/Latin/Mexican, TIME.OCC=tarde, Vict.Sex=F"
"20",121.62,0.01,24355,113.8,"Vict.Age=mayor"
